名称,描述,时间,地点
神农氏,传说中的农业始祖，教民耕种，尝百草。,上古时期,不详
后稷,周朝始祖，被尊为农业之神，教民种植五谷。,上古时期,陕西
氾胜之,西汉农学家，著有《氾胜之书》，总结了北方农业技术。,西汉,不详
贾思勰,北魏农学家，著有《齐民要术》，是中国现存最早的农学著作。,北魏,不详
王祯,元代农学家，著有《农书》，详细介绍了农业生产工具和技术。,元代,不详
徐光启,明代科学家，著有《农政全书》，系统总结了农业技术并引入西方知识。,明代,上海松江
宋应星,明代科学家，著有《天工开物》，记载了农业和手工业技术。,明代,江西奉新
陈旉,宋代农学家，著有《陈旉农书》，总结了南方农业生产经验。,宋代,江南地区
鲁明善,元代农学家，著有《农桑衣食撮要》，总结了农业生产经验。,元代,不详
李冰,战国时期水利专家，主持修建都江堰，灌溉成都平原。,战国,四川成都
郑国,战国时期水利专家，主持修建郑国渠，灌溉关中平原。,战国,陕西关中
黄道婆,元代纺织技术革新者，推广棉纺织技术。,元代,上海松江
赵过,汉代农学家，推广代田法和耦犁，提高了农业生产效率。,汉代,不详
蔡伦,东汉发明家，改进造纸术，间接促进了农业知识的传播。,东汉,湖南耒阳
李时珍,明代药物学家，著有《本草纲目》，记载了大量药用植物的种植方法。,明代,湖北蕲春
沈括,宋代科学家，著有《梦溪笔谈》，记载了农业和水利技术。,宋代,浙江杭州
郭守敬,元代天文学家，编制《授时历》，指导农业生产。,元代,河北邢台
张仲景,东汉医学家，著有《伤寒杂病论》，记载了药用植物的种植方法。,东汉,河南南阳
扁鹊,战国时期医学家，记载了药用植物的种植方法。,战国,不详
华佗,东汉医学家，记载了药用植物的种植方法。,东汉,安徽亳州
孙思邈,唐代医学家，著有《千金方》，记载了药用植物的种植方法。,唐代,陕西耀县
李时珍,明代药物学家，著有《本草纲目》，记载了大量药用植物的种植方法。,明代,湖北蕲春
沈括,宋代科学家，著有《梦溪笔谈》，记载了农业和水利技术。,宋代,浙江杭州
郭守敬,元代天文学家，编制《授时历》，指导农业生产。,元代,河北邢台
张仲景,东汉医学家，著有《伤寒杂病论》，记载了药用植物的种植方法。,东汉,河南南阳
扁鹊,战国时期医学家，记载了药用植物的种植方法。,战国,不详
华佗,东汉医学家，记载了药用植物的种植方法。,东汉,安徽亳州
孙思邈,唐代医学家，著有《千金方》，记载了药用植物的种植方法。,唐代,陕西耀县
李时珍,明代药物学家，著有《本草纲目》，记载了大量药用植物的种植方法。,明代,湖北蕲春
沈括,宋代科学家，著有《梦溪笔谈》，记载了农业和水利技术。,宋代,浙江杭州
郭守敬,元代天文学家，编制《授时历》，指导农业生产。,元代,河北邢台
张仲景,东汉医学家，著有《伤寒杂病论》，记载了药用植物的种植方法。,东汉,河南南阳
扁鹊,战国时期医学家，记载了药用植物的种植方法。,战国,不详
华佗,东汉医学家，记载了药用植物的种植方法。,东汉,安徽亳州
孙思邈,唐代医学家，著有《千金方》，记载了药用植物的种植方法。,唐代,陕西耀县
李时珍,明代药物学家，著有《本草纲目》，记载了大量药用植物的种植方法。,明代,湖北蕲春
沈括,宋代科学家，著有《梦溪笔谈》，记载了农业和水利技术。,宋代,浙江杭州
郭守敬,元代天文学家，编制《授时历》，指导农业生产。,元代,河北邢台
张仲景,东汉医学家，著有《伤寒杂病论》，记载了药用植物的种植方法。,东汉,河南南阳
扁鹊,战国时期医学家，记载了药用植物的种植方法。,战国,不详
华佗,东汉医学家，记载了药用植物的种植方法。,东汉,安徽亳州
