名称,描述,时间,地点
《周髀算经》,中国古代重要的数学著作，记载了勾股定理的特例“勾三股四弦五”，以及天文历法相关的数学计算方法等,战国时期,不详
《九章算术》,中国古代第一部数学专著，系统总结了战国、秦、汉时期的数学成就，包含方田、粟米、衰分、少广、商功、均输、盈不足、方程、勾股等九章内容，涉及分数运算、比例问题、面积体积计算等诸多方面,汉朝,不详
《海岛算经》,魏晋时期刘徽所著，是一部测量数学著作，主要讲述了利用标杆进行两次、三次、四次测量来解决各种测量数学的问题，是中国最早的一部测量数学专著,魏晋时期,不详
《孙子算经》,中国古代重要的数学典籍，约成书于四、五世纪，书中详细记载了筹算记数制度和筹算乘除法则，还有著名的“鸡兔同笼”问题等,南北朝时期,不详
《张丘建算经》,北魏时期的数学著作，书中包含了一些有趣的数学问题，如“百鸡问题”等，对不定方程的研究有一定贡献,北魏时期,不详
《缀术》,南北朝祖冲之所著，在圆周率的计算方面取得了杰出成就，将圆周率精确到小数点后第七位，还包含了球体积的计算方法等内容,南北朝时期,江苏南京
《五曹算经》,北周甄鸾所著，是一部为地方行政官员编写的实用数学书，分为田曹、兵曹、集曹、仓曹、金曹五卷，分别论述了田亩计算、军队给养、仓廪储备、钱财收支等方面的数学问题,北周时期,不详
《夏侯阳算经》,唐中叶的一部算书，原书已失传，现传本是唐中叶的一部算书，其中论述了分数的四则运算法则，乘除法则，以及一些实用算术问题的解法,唐朝,不详
《算经十书》,北宋朝廷组织编纂的十部算书合集，包括《周髀算经》《九章算术》《海岛算经》《孙子算经》《张丘建算经》《夏侯阳算经》《缉术》《五曹算经》《五经算术》《缀术》等，对中国古代数学进行了系统的整理和保存,北宋时期,不详
《数书九章》,南宋秦九韶所著，全书共十八卷，分为九大类，每类包含九个问题，涉及天文历法、田域面积、测望、赋税、粮谷、营建、军旅、市易等诸多方面的实际应用问题，创立了“大衍求一术”和“正负开方术”等重要的数学方法,南宋时期,浙江绍兴
《测圆海镜》,金代李冶所著，是中国古代第一部系统论述天元术的著作，天元术是一种用数学符号列方程的方法，在高次方程的解法和几何问题的研究上有重要贡献,金代,河北保定
《益古演段》,元代李冶所著，是对《测圆海镜》的进一步阐释和发展，以天元术为基础，通过具体的例题详细阐述了如何列方程和解方程，对天元术的传播和应用起到了重要作用,元代,河北保定
《四元玉鉴》,元代朱世杰所著，是中国古代数学的重要著作之一，在多元高次方程组的解法、高阶等差级数求和等方面取得了杰出成就，创立了“四元术”和“垛积术”等重要的数学方法,元代,浙江温州
《算学启蒙》,元代朱世杰所著，是一部普及性的数学教材，从简单的四则运算开始，逐步深入到开方、天元术等内容，对数学知识的传播和普及起到了积极作用,元代,浙江温州
《算学宝鉴》,明代王文素所著，是一部具有重要学术价值的数学著作，在珠算理论和算法方面有深入研究，对传统的筹算方法也有详细的阐述和改进,明代,不详
《天工开物·珠算》,宋应星所著《天工开物》中关于珠算的部分，介绍了珠算的起源、发展和应用，以及珠算的基本算法和口诀,明朝,江西奉新
《算法统宗》,明代程大位所著，是中国古代流传最广的一部珠算书，详细介绍了珠算的各种算法和应用，包括乘除法、开方、比例等内容，并编有大量的珠算口诀，便于记忆和应用,明代,安徽休宁
《增删算法统宗》,清代梅瑴成所著，是对《算法统宗》的增删修订本，在保留原书精华的基础上，增加了一些新的内容和例题，使珠算知识更加系统和完整,清代,不详
《中西数学通》,清代梅文鼎所著，是一部融合中西数学知识的著作，对中西方的数学理论和算法进行了比较和研究，试图寻找中西数学的共同点和差异点,清代,安徽宣城
《数理精蕴》,康熙年间编纂的一部大型数学百科全书，汇集了当时中国和西方的数学知识，包括算术、代数、几何、三角等方面的内容，对数学知识的系统整理和传播起到了重要作用,清朝,北京
《御制数理精蕴》,清朝康熙帝下令编纂的一部数学典籍，内容涵盖了数学的各个方面，包括算术、代数、几何、三角等，是中国古代数学的重要文献之一,清朝,北京
