名称,描述,时间,地点
《氾胜之书》,西汉氾胜之所著，是中国最早的农书之一，总结了北方农业技术。,西汉,不详
《齐民要术》,北魏贾思勰所著，是中国现存最早、最完整的农学著作，总结了北方农业生产经验。,北魏,不详
《农书》,元代王祯所著，详细介绍了农业生产工具和技术，配有大量插图。,元代,不详
《农政全书》,明代徐光启所著，系统总结了农业技术，并引入了西方农业知识。,明代,上海松江
《陈旉农书》,宋代陈旉所著，总结了南方农业生产经验，特别是水稻种植技术。,宋代,江南地区
《天工开物》,明代宋应星所著，记载了农业、手工业等技术，被誉为“中国17世纪的工艺百科全书”。,明代,江西奉新
《授时通考》,清代官修农书，总结了历代农业技术，推广了农业科学知识。,清代,北京
《农桑辑要》,元代官修农书，总结了当时的农业技术，推广了棉花种植。,元代,不详
《农桑衣食撮要》,元代鲁明善所著，总结了农业生产经验，特别是农事安排。,元代,不详
《农桑通诀》,元代王祯所著，系统总结了农业生产技术，特别是农具的使用。,元代,不详
《百谷谱》,元代王祯所著，详细介绍了各种作物的种植技术。,元代,不详
《农器图谱》,元代王祯所著，配有大量插图，详细介绍了农业生产工具。,元代,不详
《经史典故》,明代徐光启所著，引经据典阐明农业立国之本。,明代,上海松江
《诸家杂论》,明代徐光启所著，引诸子百家言证明古来以农为重。,明代,上海松江
《国朝重农考》,明代冯应京所著，强调了农业在国家经济中的重要性。,明代,不详
《农事》,明代徐光启所著，系统总结了农业生产技术，特别是农事安排。,明代,上海松江
《农桑辑要》,元代官修农书，总结了当时的农业技术，推广了棉花种植。,元代,不详
《王祯农书》,元代王祯所著，详细介绍了农业生产工具和技术，配有大量插图。,元代,不详
《陈旉农书》,宋代陈旉所著，总结了南方农业生产经验，特别是水稻种植技术。,宋代,江南地区
《天工开物》,明代宋应星所著，记载了农业、手工业等技术，被誉为“中国17世纪的工艺百科全书”。,明代,江西奉新
《授时通考》,清代官修农书，总结了历代农业技术，推广了农业科学知识。,清代,北京
《农桑衣食撮要》,元代鲁明善所著，总结了农业生产经验，特别是农事安排。,元代,不详
《农桑通诀》,元代王祯所著，系统总结了农业生产技术，特别是农具的使用。,元代,不详
《百谷谱》,元代王祯所著，详细介绍了各种作物的种植技术。,元代,不详
《农器图谱》,元代王祯所著，配有大量插图，详细介绍了农业生产工具。,元代,不详
《经史典故》,明代徐光启所著，引经据典阐明农业立国之本。,明代,上海松江
《诸家杂论》,明代徐光启所著，引诸子百家言证明古来以农为重。,明代,上海松江
《国朝重农考》,明代冯应京所著，强调了农业在国家经济中的重要性。,明代,不详
《农事》,明代徐光启所著，系统总结了农业生产技术，特别是农事安排。,明代,上海松江
《农桑辑要》,元代官修农书，总结了当时的农业技术，推广了棉花种植。,元代,不详
《王祯农书》,元代王祯所著，详细介绍了农业生产工具和技术，配有大量插图。,元代,不详
《陈旉农书》,宋代陈旉所著，总结了南方农业生产经验，特别是水稻种植技术。,宋代,江南地区
《天工开物》,明代宋应星所著，记载了农业、手工业等技术，被誉为“中国17世纪的工艺百科全书”。,明代,江西奉新
《授时通考》,清代官修农书，总结了历代农业技术，推广了农业科学知识。,清代,北京
《农桑衣食撮要》,元代鲁明善所著，总结了农业生产经验，特别是农事安排。,元代,不详
《农桑通诀》,元代王祯所著，系统总结了农业生产技术，特别是农具的使用。,元代,不详
《百谷谱》,元代王祯所著，详细介绍了各种作物的种植技术。,元代,不详
《农器图谱》,元代王祯所著，配有大量插图，详细介绍了农业生产工具。,元代,不详
《经史典故》,明代徐光启所著，引经据典阐明农业立国之本。,明代,上海松江
《诸家杂论》,明代徐光启所著，引诸子百家言证明古来以农为重。,明代,上海松江
《国朝重农考》,明代冯应京所著，强调了农业在国家经济中的重要性。,明代,不详
《农事》,明代徐光启所著，系统总结了农业生产技术，特别是农事安排。,明代,上海松江
《农桑辑要》,元代官修农书，总结了当时的农业技术，推广了棉花种植。,元代,不详
《王祯农书》,元代王祯所著，详细介绍了农业生产工具和技术，配有大量插图。,元代,不详
《陈旉农书》,宋代陈旉所著，总结了南方农业生产经验，特别是水稻种植技术。,宋代,江南地区
《天工开物》,明代宋应星所著，记载了农业、手工业等技术，被誉为“中国17世纪的工艺百科全书”。,明代,江西奉新
《授时通考》,清代官修农书，总结了历代农业技术，推广了农业科学知识。,清代,北京
《农桑衣食撮要》,元代鲁明善所著，总结了农业生产经验，特别是农事安排。,元代,不详
《农桑通诀》,元代王祯所著，系统总结了农业生产技术，特别是农具的使用。,元代,不详
《百谷谱》,元代王祯所著，详细介绍了各种作物的种植技术。,元代,不详
《农器图谱》,元代王祯所著，配有大量插图，详细介绍了农业生产工具。,元代,不详
《经史典故》,明代徐光启所著，引经据典阐明农业立国之本。,明代,上海松江
《诸家杂论》,明代徐光启所著，引诸子百家言证明古来以农为重。,明代,上海松江
《国朝重农考》,明代冯应京所著，强调了农业在国家经济中的重要性。,明代,不详
《农事》,明代徐光启所著，系统总结了农业生产技术，特别是农事安排。,明代,上海松江
《农桑辑要》,元代官修农书，总结了当时的农业技术，推广了棉花种植。,元代,不详
《王祯农书》,元代王祯所著，详细介绍了农业生产工具和技术，配有大量插图。,元代,不详
《陈旉农书》,宋代陈旉所著，总结了南方农业生产经验，特别是水稻种植技术。,宋代,江南地区
《天工开物》,明代宋应星所著，记载了农业、手工业等技术，被誉为“中国17世纪的工艺百科全书”。,明代,江西奉新
《授时通考》,清代官修农书，总结了历代农业技术，推广了农业科学知识。,清代,北京
《农桑衣食撮要》,元代鲁明善所著，总结了农业生产经验，特别是农事安排。,元代,不详
《农桑通诀》,元代王祯所著，系统总结了农业生产技术，特别是农具的使用。,元代,不详
《百谷谱》,元代王祯所著，详细介绍了各种作物的种植技术。,元代,不详
《农器图谱》,元代王祯所著，配有大量插图，详细介绍了农业生产工具。,元代,不详
《经史典故》,明代徐光启所著，引经据典阐明农业立国之本。,明代,上海松江
《诸家杂论》,明代徐光启所著，引诸子百家言证明古来以农为重。,明代,上海松江
《国朝重农考》,明代冯应京所著，强调了农业在国家经济中的重要性。,明代,不详
《农事》,明代徐光启所著，系统总结了农业生产技术，特别是农事安排。,明代,上海松江
《农桑辑要》,元代官修农书，总结了当时的农业技术，推广了棉花种植。,元代,不详
《王祯农书》,元代王祯所著，详细介绍了农业生产工具和技术，配有大量插图。,元代,不详
《陈旉农书》,宋代陈旉所著，总结了南方农业生产经验，特别是水稻种植技术。,宋代,江南地区
《天工开物》,明代宋应星所著，记载了农业、手工业等技术，被誉为“中国17世纪的工艺百科全书”。,明代,江西奉新
《授时通考》,清代官修农书，总结了历代农业技术，推广了农业科学知识。,清代,北京
《农桑衣食撮要》,元代鲁明善所著，总结了农业生产经验，特别是农事安排。,元代,不详
《农桑通诀》,元代王祯所著，系统总结了农业生产技术，特别是农具的使用。,元代,不详
《百谷谱》,元代王祯所著，详细介绍了各种作物的种植技术。,元代,不详
《农器图谱》,元代王祯所著，配有大量插图，详细介绍了农业生产工具。,元代,不详
《经史典故》,明代徐光启所著，引经据典阐明农业立国之本。,明代,上海松江
《诸家杂论》,明代徐光启所著，引诸子百家言证明古来以农为重。,明代,上海松江
《国朝重农考》,明代冯应京所著，强调了农业在国家经济中的重要性。,明代,不详
《农事》,明代徐光启所著，系统总结了农业生产技术，特别是农事安排。,明代,上海松江
《农桑辑要》,元代官修农书，总结了当时的农业技术，推广了棉花种植。,元代,不详
《王祯农书》,元代王祯所著，详细介绍了农业生产工具和技术，配有大量插图。,元代,不详
