名称,描述,时间,地点
《周髀算经》,战国时期数学专著，提出"勾三股四弦五"特例及天文历法计算模型,战国时期,不详
商鞅方升,青铜制标准量器，容积1升，确立秦代度量衡体系基础,战国时期,陕西西安
《九章算术》,汉代数学经典，系统阐述方程术、面积计算、比例分配等核心算法,汉朝,不详
张衡地动仪,东汉地震监测装置，采用"都柱"惯性原理辨别震源方向，精度达百里,东汉,河南南阳
祖冲之《缀术》,南北朝数学巅峰之作，圆周率精确至小数点后第七位，创"大衍求一术",南北朝,江苏南京
《大衍历》,唐朝历法革新，首次引入定气法计算节气，误差≤30分钟,唐朝,北京
苏颂水运仪象台,北宋综合天文仪器，集成浑仪、浑象、报时装置，精度领先世界,北宋,苏州
《梦溪笔谈》,沈括记载活字印刷术、磁偏角测量及建筑力学，涉及多学科计量原理,北宋,江苏镇江
秦九韶《数书九章》,南宋首创"大衍求一术"解高次方程，领先欧洲600年,南宋,浙江绍兴
李冶《测圆海镜》,金代几何学著作，建立勾股定理逆推体系及球面几何理论,金朝,河北保定
朱世杰《四元玉鉴》,元代创立四元高次方程解法，比西方早400年,元朝,浙江温州
郭守敬简仪,元代天文仪器改革，简化结构提高观测精度3倍,元朝,北京
王祯《农书·农器图谱》,元代绘制水力鼓风车、木牛流马等机械图示,元朝,山东东平
《授时历》,元代精密历法，365.2425年/年误差仅26秒，沿用至明末,元朝,北京
朱棣《永乐大典·数学篇》,明朝收录宋元数学著作216种，含《九章算术》注疏,明朝,南京
程大位《直指算法统宗》,明代数学启蒙经典，首创珠算口诀与运算符号系统,明朝,安徽休宁
汪莱《衡斋算学新编》,清朝系统研究球面三角学与微积分雏形,清朝,江苏苏州
梅文鼎《历算全书》,清朝综合中西历法，考证岁差与日月食计算,清朝,安徽宣城
《数理精蕴》,康熙敕编数学百科全书，涵盖算术、几何、代数及西洋数学初识,清朝,北京
张锡庚《四民历象考原》,清朝详细考证历代历法更迭与天文仪器沿革,清朝,浙江钱塘
汪学金《九章正蒙》,清朝注释《九章算术》并补充近代数学概念,清朝,江苏吴县
李善兰《垛积比类》,清朝研究高阶等差数列与立体几何，建立堆垛数学理论,清朝,浙江海宁
华蘅芳《格致新编》,清朝编译西方数学，介绍微积分与解析几何基础,清朝,江苏无锡
《钦定数学会通》,清末官修数学教材，涵盖算术、代数、几何及测量学,清朝,北京
赵元任《国语罗马字注音法》,民国初期用拉丁字母标注汉语发音，奠定拼音基础,民国时期,江苏常州
商鞅方升,战国青铜量器，容积1升，秦统一度量衡标准器,战国时期,陕西西安
张衡地动仪,东汉地震仪，"都柱"惯性原理，可测千里外地震,东汉,河南南阳
祖冲之《缀术》,南北朝数学著作，圆周率π=3.1415926~3.1415927,南北朝,江苏南京
郭守敬简仪,元代天文仪器，黄道经纬仪结构简化，观测精度提升,元朝,北京
王祯《农书》,元代农业机械图谱，水转翻车、筒车等灌溉工具详解,元朝,山东东平
《授时历》,元代历法，岁首推算精确，误差仅26秒,元朝,北京
程大位《直指算法统宗》,明代珠算经典，口诀系统化与运算规范化,明朝,安徽休宁
汪莱《衡斋算学新编》,清朝数学著作，球面三角学与微分积分初步探讨,清朝,江苏苏州
梅文鼎《历算全书》,清朝历法研究，综合中西历法理论及计算方法,清朝,安徽宣城
李善兰《垛积比类》,清朝高阶等差数列研究，堆垛数理论应用,清朝,浙江海宁
华蘅芳《格致新编》,清朝编译数学，引入微积分符号与解析几何概念,清朝,江苏无锡
《钦定数学会通》,清末数学教材，官方认可的计算方法与测量技术标准,清朝,北京
赵元任《国语罗马字注音法》,民国拼音方案，拉丁字母表音系统,民国时期,江苏常州
