成就名称,描述,时间,地点
浑天仪,张衡发明的天文仪器，用于观测天体运行。,东汉,河南南阳
地动仪,张衡发明的地震检测仪器。,东汉,河南南阳
二十四节气,根据太阳运行规律制定的农事历法。,春秋战国,中原地区
海陆分布图,中国古代地理学家绘制的地图，如《禹贡地域图》。,唐代,长安（今西安）
《授时历》,元代郭守敬编制的历法，精确度极高。,元代,河北邢台
《周髀算经》,包含天文历法和数学知识，记载了早期的天文观测和计算方法。,汉代,中原地区
《徐霞客游记》,详细记录了中国各地的地理、地貌、水文等自然现象。,明代,江苏江阴
《禹贡地域图》,中国古代地理学家绘制的地图，记录了各地的山川河流。,唐代,不详
《水经注》,郦道元所著，详细记载了中国各地的水文地理。,北魏,不详
《山海经》,古代地理著作，记载了神话、地理、动植物等内容。,战国,不详
《星经》,古代天文学著作，记载了星象和天文现象。,汉代,不详
《天文大象赋》,唐代天文学著作，描述了星象和天文现象。,唐代,不详
《大衍历》,唐代僧一行编制的历法，精确度较高。,唐代,长安（今西安）
《仪象考成》,清代天文学著作，记载了天文仪器的制作和使用方法。,清代,北京
《天工开物》,明代科技著作，涵盖农业、手工业、工程等领域。,明代,江西奉新
《梦溪笔谈》,沈括所著，记载了大量物理、天文、地理等领域的科学发现。,宋代,浙江杭州
《开元占经》,唐代天文学著作，记载了星象和占卜方法。,唐代,长安（今西安）
《灵台秘苑》,唐代天文学著作，记载了天文观测和占星术。,唐代,不详
《乾象历》,汉代天文学著作，记载了天文历法。,汉代,不详
《太初历》,汉代天文学著作，是中国最早的历法之一。,汉代,不详
《大明历》,南北朝时期祖冲之编制的历法，精确度较高。,南北朝,江苏南京
《崇祯历书》,明代徐光启等人编制的历法，吸收了西方天文学知识。,明代,北京
《仪象法式》,宋代天文学著作，记载了天文仪器的制作方法。,宋代,河南开封
《天文志》,历代正史中的天文部分，记载了天文现象和历法。,历代,不详
《地理志》,历代正史中的地理部分，记载了各地的地理情况。,历代,不详
《元和郡县志》,唐代地理著作，记载了各地的地理和行政区划。,唐代,不详
《太平寰宇记》,宋代地理著作，记载了各地的地理和风土人情。,宋代,不详
《舆地广记》,宋代地理著作，记载了各地的地理和历史。,宋代,不详
《方舆胜览》,宋代地理著作，记载了各地的名胜和地理情况。,宋代,不详
《读史方舆纪要》,清代地理著作，详细记载了各地的地理和军事形势。,清代,不详
《华夷图》,宋代地理图，记载了中国和周边国家的地理情况。,宋代,不详
《禹迹图》,宋代地理图，记载了中国的地理情况。,宋代,不详
《广舆图》,明代地理图，记载了中国和周边国家的地理情况。,明代,不详
《皇舆全览图》,清代地理图，是中国最早的全国性地图之一。,清代,北京
《海国图志》,清代地理著作，记载了世界各国的地理情况。,清代,不详
《坤舆万国全图》,明代地理图，是中国最早的世界地图之一。,明代,不详
《天文图》,宋代天文图，记载了星象和天文现象。,宋代,不详
《星图》,历代天文图，记载了星象和天文现象。,历代,不详
《天文仪器图》,历代天文仪器图，记载了天文仪器的制作和使用方法。,历代,不详
《天文观测记录》,历代天文观测记录，记载了天文现象和观测结果。,历代,不详
《天文历法》,历代天文历法，记载了历法的编制和使用方法。,历代,不详
《天文占卜》,历代天文占卜，记载了星象和占卜方法。,历代,不详
