名称,描述,时间,地点
李冰,战国水利专家，主持修建都江堰，创立"深淘滩低作堰"治水原则,战国时期,四川成都
蒯祥,明代皇家建筑师，主持营建北京紫禁城，精通木构建筑抗震技术,明朝,北京
宋应星,明末科学家，《天工开物》记载建筑工艺与水利工程,明朝,江西奉新
沈括,北宋科学家，《梦溪笔谈》记录活字印刷术与建筑力学原理,北宋,江苏镇江
喻皓,北宋《营造法式》编纂者，确立古代建筑标准化体系,北宋,东京汴梁
李诫,北宋建筑学家，著《营造法式》成为后世建筑典籍,北宋,东京汴梁
朱棣,明朝第三位皇帝，迁都北京并扩建紫禁城，推动营建制度改革,明朝,北京
雷发达,清代样式房掌案，主持颐和园、圆明园等皇家园林营造,清朝,北京
梁思成,近代建筑学家，系统研究中国古代建筑体系并撰写《中国建筑史》,民国时期,广东新会
林徽因,近代建筑学家与诗人，参与古建筑保护与《中国建筑史》编纂,民国时期,福建闽侯
刘敦桢,中国现代建筑学奠基人之一，整理出版《中国建筑史》教材,民国时期,江苏南京
李春,隋朝工匠，建造赵州桥首创"空腹拱"设计，奠定石拱桥技术基础,隋朝,河北赵县
王仁裕,北宋《开元天宝遗事》记载建筑奇观，反映唐代建筑艺术高度,北宋,陕西西安
张择端,北宋画家，《清明上河图》描绘汴京城市建筑风貌,北宋,山东诸城
郭守敬,元朝天文学家与水利专家，设计大都城供水系统与天文仪器,元朝,北京
马可·波罗,意大利旅行家，在《马可·波罗游记》中记录元大都建筑成就,元朝,北京
郑和,明代航海家，七下西洋带回东南亚建筑技术与材料,明朝,江苏太仓
徐光启,明末科学家，《农政全书》记载水利工程与农业建筑技术,明朝,上海松江
沈周,明代画家，《东庄图》展现江南园林建筑布局与造景艺术,明朝,江苏苏州
文徵明,明代文人画家，《拙政园三十一景图》记录苏州园林营造技艺,明朝,江苏苏州
仇英,明代画家，《汉宫春晓图》描绘皇家宫殿建筑群,明朝,江苏吴门
唐寅,明代画家，《桃花庵歌》配图展现文人园林建筑意境,明朝,江苏苏州
计成,明代园林学家，《园冶》专著系统论述园林设计与营造法则,明朝,江苏吴门
张涟,清代园林大师，主持营造畅春园、圆明园等皇家园林,清朝,北京
样式雷,清代宫廷建筑世家，传承五代营造技艺，设计天坛祈年殿等建筑,清朝,北京
李秀成,太平天国将领，建造天王府宫殿建筑群，融合中西建筑元素,清朝,江苏南京
曾国藩,晚清重臣，主持修建湘军水师营垒与安庆城防工事,清朝,湖南长沙
左宗棠,晚清名臣，督办新疆屯田与坎儿井水利工程,清朝,湖南湘阴
张謇,清末实业家，创办南通师范学校与近代工厂，推动南通城市化建设,清朝,江苏南通
詹天佑,近代铁路工程师，主持京张铁路建设，创新"人"字形铁路隧道设计,民国时期,广东南海
茅以升,近代桥梁专家，设计钱塘江大桥，开创现代桥梁工程学体系,民国时期,浙江杭州
杨廷宝,近代建筑师，参与人民英雄纪念碑设计与北京饭店改建,民国时期,江苏徐州
吴良镛,当代建筑大师，提出"广义建筑学"理论，主持北京菊儿胡同改造项目,现代,北京
马岩松,当代建筑师，设计北京奥运会主体育馆"鸟巢"与上海世博会中国馆,现代,北京
崔恺,当代建筑师，主持国家大剧院、银泰中心等大型公建项目,现代,北京
周琦,当代建筑师，设计广州塔、深圳平安金融中心等超高层建筑,现代,广东广州
