名称,描述,时间,地点
墨翟,中国古代物理学家，对光的直线传播、平面镜、凹面镜、球面镜等光学现象进行了论述,战国时期,不详
沈括,北宋科学家，记录了指南针原理及多种制作方法，发现地磁偏角的存在比欧洲早了四百多年,北宋时期,不详
郭守敬,元代天文学家、数学家，设计简仪、高表等天文仪器，制定《授时历》,元朝时期,不详
宋应星,明末清初科学家，著有《天工开物》，总结明代农业、手工业技术,明末清初,不详
赵友钦,宋元物理学家，著有《革象新书》，研究小孔成像规律,宋元时期,不详
张衡,东汉科学家，发明候风地动仪，提出“浑天说”宇宙模型,东汉时期,河南南阳
邹伯奇,清代物理学家，研究光学，制成照相机，被称为“中国照相机之父”,清朝时期,广东广州
徐光启,明代科学家，译有《几何原本》《泰西水法》《农政全书》,明朝时期,上海
祖冲之,南北朝数学家、天文学家，计算圆周率至小数点后7位，制定《大明历》,南北朝时期,不详
李时珍,明代医药学家，编撰《本草纲目》，系统分类并纠正前人错误,明朝时期,不详
马钧,汉朝末期机械发明家，还原指南车，改进织绫机，发明龙骨水车,汉朝,不详
蔡伦,东汉宦官，革新造纸工艺，制成“蔡侯纸”,东汉时期,不详
杜诗,东汉官员，创造水力鼓风机，修治陂池,东汉时期,不详
诸葛亮,三国时期蜀汉丞相，发明木牛流马、孔明灯，改造连弩,三国时期,不详
苏颂,北宋科学家，领导制造世界上最古老的天文钟“水运仪象台”,北宋时期,不详
毕升,北宋发明家，发明胶泥活字印刷技术,北宋时期,不详
李春,隋代造桥匠师，建造赵州桥,隋朝时期,不详
鲁班,春秋时期工匠，发明多种工具和机械,春秋时期,不详
王充,东汉思想家，论述力和运动的关系，声学现象,东汉时期,不详
