名称,描述,时间,地点
葛洪,东晋炼丹家、医药学家，著有《抱朴子》,东晋,江苏句容
魏伯阳,东汉炼丹家，著有《周易参同契》,东汉,不详
陶弘景,南朝炼丹家、医药学家，著有《本草经集注》,南朝,江苏南京
狐刚子,东汉炼丹家，擅长炼制丹药,东汉,不详
孙思邈,唐代医药学家、炼丹家，著有《千金方》,唐代,陕西耀县
李少君,西汉炼丹家，汉武帝时期的重要方士,西汉,不详
刘安,西汉淮南王，组织编撰《淮南子》，涉及炼丹术,西汉,安徽寿县
张陵,东汉道教创始人，炼丹术的实践者,东汉,四川成都
陈抟,宋代道士、炼丹家，擅长内丹术,宋代,河南鹿邑
吕洞宾,唐代道士、炼丹家，被尊为八仙之一,唐代,不详
何晏,三国时期炼丹家，擅长炼制丹药,三国,不详
葛玄,三国时期炼丹家，葛洪的从祖父,三国,江苏句容
陶仲文,明代炼丹家，嘉靖帝的御用炼丹师,明代,不详
李时珍,明代医药学家，著有《本草纲目》，涉及炼丹术,明代,湖北蕲春
赵宜真,元代炼丹家，擅长炼制丹药,元代,不详
王重阳,金代道教全真派创始人，炼丹术的实践者,金代,陕西咸阳
丘处机,金代道士、炼丹家，全真派重要人物,金代,山东栖霞
张三丰,明代道士、炼丹家，太极拳创始人,明代,辽宁阜新
白玉蟾,宋代道士、炼丹家，擅长内丹术,宋代,福建闽清
陈致虚,元代炼丹家，著有《金丹大要》,元代,不详
彭晓,唐代炼丹家，著有《周易参同契通真义》,唐代,不详
张伯端,宋代道士、炼丹家，著有《悟真篇》,宋代,浙江天台
石泰,宋代道士、炼丹家，擅长内丹术,宋代,不详
薛道光,宋代道士、炼丹家，著有《还丹复命篇》,宋代,不详
陈楠,宋代道士、炼丹家，擅长内丹术,宋代,不详
刘一明,清代道士、炼丹家，著有《道书十二种》,清代,甘肃兰州
黄元吉,清代道士、炼丹家，著有《乐育堂语录》,清代,不详
李涵虚,清代道士、炼丹家，擅长内丹术,清代,四川乐山
闵一得,清代道士、炼丹家，著有《古书隐楼藏书》,清代,浙江湖州
伍冲虚,清代道士、炼丹家，擅长内丹术,清代,不详
柳华阳,清代道士、炼丹家，著有《金仙证论》,清代,不详
刘名瑞,清代道士、炼丹家，擅长内丹术,清代,不详
朱元育,清代道士、炼丹家，著有《参同契阐幽》,清代,不详
傅金铨,清代道士、炼丹家，擅长内丹术,清代,不详
李西月,清代道士、炼丹家，著有《三车秘旨》,清代,四川乐山
刘悟元,清代道士、炼丹家，擅长内丹术,清代,不详
黄裳,宋代道士、炼丹家，著有《周易参同契注》,宋代,不详
张宇初,明代道士、炼丹家，正一派天师,明代,江西龙虎山
张继先,宋代道士、炼丹家，正一派天师,宋代,江西龙虎山
张与材,元代道士、炼丹家，正一派天师,元代,江西龙虎山
张正常,明代道士、炼丹家，正一派天师,明代,江西龙虎山
张元吉,明代道士、炼丹家，正一派天师,明代,江西龙虎山
张国祥,明代道士、炼丹家，正一派天师,明代,江西龙虎山
张显庸,明代道士、炼丹家，正一派天师,明代,江西龙虎山
张应京,清代道士、炼丹家，正一派天师,清代,江西龙虎山
张洪任,清代道士、炼丹家，正一派天师,清代,江西龙虎山
张继宗,清代道士、炼丹家，正一派天师,清代,江西龙虎山
张锡麟,清代道士、炼丹家，正一派天师,清代,江西龙虎山
张仁晸,清代道士、炼丹家，正一派天师,清代,江西龙虎山
张元旭,清代道士、炼丹家，正一派天师,清代,江西龙虎山
张恩溥,清代道士、炼丹家，正一派天师,清代,江西龙虎山
张道陵,东汉道教创始人，炼丹术的实践者,东汉,四川成都
张衡,东汉科学家、炼丹家，著有《灵宪》,东汉,河南南阳
张仲景,东汉医学家，著有《伤寒杂病论》，涉及炼丹术,东汉,河南南阳
华佗,东汉医学家，擅长外科手术，涉及炼丹术,东汉,安徽亳州
皇甫谧,西晋医学家，著有《针灸甲乙经》，涉及炼丹术,西晋,甘肃灵台
王叔和,西晋医学家，著有《脉经》，涉及炼丹术,西晋,山东高平
巢元方,隋代医学家，著有《诸病源候论》，涉及炼丹术,隋代,不详
孙思邈,唐代医学家，著有《千金方》，涉及炼丹术,唐代,陕西耀县
王冰,唐代医学家，注释《黄帝内经》，涉及炼丹术,唐代,不详
李杲,金代医学家，著有《脾胃论》，涉及炼丹术,金代,河北正定
朱震亨,元代医学家，著有《格致余论》，涉及炼丹术,元代,浙江义乌
张从正,金代医学家，著有《儒门事亲》，涉及炼丹术,金代,河南兰考
李时珍,明代医学家，著有《本草纲目》，涉及炼丹术,明代,湖北蕲春
吴有性,明代医学家，著有《温疫论》，涉及炼丹术,明代,江苏吴县
叶天士,清代医学家，著有《温热论》，涉及炼丹术,清代,江苏吴县
王清任,清代医学家，著有《医林改错》，涉及炼丹术,清代,河北玉田
唐宗海,清代医学家，著有《血证论》，涉及炼丹术,清代,四川彭县
张锡纯,清代医学家，著有《医学衷中参西录》，涉及炼丹术,清代,河北盐山
傅山,清代医学家，著有《傅青主女科》，涉及炼丹术,清代,山西阳曲
徐大椿,清代医学家，著有《医学源流论》，涉及炼丹术,清代,江苏吴江
王孟英,清代医学家，著有《温热经纬》，涉及炼丹术,清代,浙江海宁
吴鞠通,清代医学家，著有《温病条辨》，涉及炼丹术,清代,江苏淮安
雷丰,清代医学家，著有《时病论》，涉及炼丹术,清代,浙江绍兴
陈修园,清代医学家，著有《医学三字经》，涉及炼丹术,清代,福建长乐
汪昂,清代医学家，著有《本草备要》，涉及炼丹术,清代,安徽休宁
黄元御,清代医学家，著有《四圣心源》，涉及炼丹术,清代,山东昌邑
张璐,清代医学家，著有《张氏医通》，涉及炼丹术,清代,江苏吴县
喻昌,清代医学家，著有《医门法律》，涉及炼丹术,清代,江西南昌
程国彭,清代医学家，著有《医学心悟》，涉及炼丹术,清代,安徽歙县
吴谦,清代医学家，编撰《医宗金鉴》，涉及炼丹术,清代,江苏吴县
陈士铎,清代医学家，著有《石室秘录》，涉及炼丹术,清代,浙江绍兴
高鼓峰,清代医学家，著有《医宗己任编》，涉及炼丹术,清代,江苏吴县
张景岳,明代医学家，著有《景岳全书》，涉及炼丹术,明代,浙江绍兴
李中梓,明代医学家，著有《医宗必读》，涉及炼丹术,明代,江苏吴县
龚廷贤,明代医学家，著有《万病回春》，涉及炼丹术,明代,江西金溪
薛己,明代医学家，著有《内科摘要》，涉及炼丹术,明代,江苏吴县
万密斋,明代医学家，著有《万氏家传养生四要》，涉及炼丹术,明代,湖北黄冈
缪希雍,明代医学家，著有《神农本草经疏》，涉及炼丹术,明代,江苏常熟
李梴,明代医学家，著有《医学入门》，涉及炼丹术,明代,江西南昌
王肯堂,明代医学家，著有《证治准绳》，涉及炼丹术,明代,江苏金坛
张介宾,明代医学家，著有《类经》，涉及炼丹术,明代,浙江绍兴
楼英,明代医学家，著有《医学纲目》，涉及炼丹术,明代,浙江义乌
戴思恭,明代医学家，著有《证治要诀》，涉及炼丹术,明代,浙江义乌
滑寿,明代医学家，著有《十四经发挥》，涉及炼丹术,明代,浙江绍兴
朱丹溪,元代医学家，著有《格致余论》，涉及炼丹术,元代,浙江义乌
李东垣,金代医学家，著有《脾胃论》，涉及炼丹术,金代,河北正定
张元素,金代医学家，著有《医学启源》，涉及炼丹术,金代,河北易县
刘完素,金代医学家，著有《素问玄机原病式》，涉及炼丹术,金代,河北河间
张子和,金代医学家，著有《儒门事亲》，涉及炼丹术,金代,河南兰考
