名称,描述,时间,地点
《黄帝内经》,现存最早中医理论体系典籍，奠定阴阳五行辨证基础,战国至西汉,不详
《伤寒杂病论》,张仲景创立辨证论治体系，被尊为"医宗金鉴",东汉末年,南阳
《本草纲目》,李时珍系统整理药物学巨著，收录药物1892种,明朝,湖北蕲春
《神农本草经》,现存最早官修本草著作，载药365种,汉朝,不详
《难经》,补充《黄帝内经》的81个医学难题解析,东汉,不详
《金匮要略》,张仲景论述杂病治疗的专著,东汉末年,不详
《温病条辨》,吴鞠通创立温病学派经典，确立卫气营血辨证体系,清朝,浙江杭州
《肘后备急方》,葛洪编撰急救手册，收录300余首急症方剂,东晋,建康
《洗冤集录》,宋慈开创法医学专著，世界最早的法医学体系,南宋,临安
《新修本草》,世界上第一部官修药典，由苏敬等人编纂,唐朝,长安
《太平惠民和剂局方》,官方颁布的首部成药典籍，收录700余方,北宋,东京汴梁
《圣济总录》,宋徽宗颁布的大型医书，集宋以前医方之大成,北宋,东京汴梁
《本草拾遗》,陈藏器补充药物记载，新增药物690种,唐朝,浙江
《温热论》,叶天士奠定量温病学基础，创立卫气营血辨证法,清朝,江苏吴县
《医林改错》,王清任批判传统解剖学谬误，提出"灵机辟阖"新理论,清朝,直隶玉田
《红夷大炮图说》,明代军事医学专著，记载火器制造与战伤处理,明朝,南京
《种痘术》,记载中国最早天花免疫疗法，推广牛痘接种法,宋元时期,不详
《四声猿》,李贽批判传统医学的哲学著作，主张"男女平等"医德观,明朝,福建泉州
《钦定医宗金鉴》,清代官方修订医书，涵盖医理、诊断、方药、外科等内容,清朝,北京
《白虎汤》,张仲景创制经典清热方剂，被列为中医十大经典方剂之一,东汉末年,不详
《导引术图谱》,古代养生健身体系图文集成，包含八段锦、五禽戏等功法,战国时期,不详
《五禽戏图鉴》,华佗创编的仿生健身操图解，现存最早健身操文献,东汉末年,沛国谯县
《石室秘宝》,宋代官藏医书集成，收录《太平圣惠方》等宫廷医案,北宋,开封
《痰火致病论》,朱丹溪创立滋阴学派理论专著，系统论述"阴虚火旺"病机,元朝,浙江义乌
《女科百病良方》,昝殷系统论述妇科疾病，收录妊娠、产后、杂病等诊疗方案,唐朝,成都
《小儿药证直诀》,钱乙开创儿科专科体系，首创小儿五脏辨证法,北宋,钱塘
《普济本事方》,许叔微收录民间验方，涉及内外妇儿各科，强调"随证立方",南宋,扬州
《针灸甲乙经》,皇甫谧系统整理针灸理论，确立349个腧穴及针刺手法,西晋,不详
《新修本草·图经》,唐政府颁布附药物图谱的药典，收录847种药物绘图,唐朝,长安
《圣济总录·针灸篇》,宋徽宗敕编针灸学专著，详述经络腧穴与针刺禁忌,北宋,东京汴梁
《温热经纬》,王孟英整合温病学理论，建立温病治疗标准化体系,清朝,浙江海宁
《血证论》,唐容川创立血证治疗体系，提出"止血、消瘀、宁血、补血"四法,清朝,四川成都
《兰亭集序》,王羲之书法体现中医养生观，"之"字暗合气血运行之道,东晋,会稽山阴
《清明上河图》,宋代风俗画反映市井医药场景，描绘中药铺、医馆、推拿店等,北宋,东京汴梁
《永乐大典·医药篇》,明朝最大百科全书收录医药内容，辑录历代医书精华,明朝,南京
《天工开物·丹青》,宋应星记载传统颜料制作工艺，涉及矿物药提取技术,明朝,奉新
《农政全书·荒政》,徐光启论述灾后防疫措施，提出隔离病患、焚烧疫衣等防疫方法,明朝,上海松江
《山居笔记·医药》,张岱记录民间偏方，收录治疗疟疾、蛊毒等地方性疾病验方,明朝,浙江绍兴
《徐霞客游记·草药》,地理学家记录西南地区药用植物，发现30余种新药材,明朝,云南
《李时珍墓志铭》,明代医药学家纪念碑刻，记载其生平事迹与《本草纲目》编纂历程,明朝,湖北蕲春
《扁鹊墓碑》,战国名医纪念遗迹，碑文记载其"望闻问切"四诊法传承,战国时期,河北内丘
《华佗墓志》,东汉神医纪念遗址，附麻沸散配方与五禽戏传承谱系,东汉末年,安徽亳州
《张仲景祠碑》,医圣纪念建筑群，刻有《伤寒杂病论》原文与历代注解,东汉末年,河南南阳
《孙思邈故里纪念馆》,唐代药王故乡纪念馆，展示《千金方》手稿与制药工具,唐朝,陕西华原
《中医药文化展馆》,现代系统性展示传统医药成就，含古籍复制品与数字化互动展区,现代,北京
