名称,描述,时间,地点
铁制农具,周代开始使用铁制农具，显著提高了农业生产效率。,周代,中原地区
牛耕,春秋战国时期推广牛耕，取代了人力耕作，大幅提升了耕地效率。,春秋战国,中原地区
耧车,汉代发明的播种工具，能够同时完成开沟、播种和覆土。,汉代,中原地区
曲辕犁,唐代改进的犁具，操作灵活，适合南方水田耕作。,唐代,江南地区
黄道婆纺织技术,元代黄道婆改进纺织技术，推广棉纺织业。,元代,上海松江
《氾胜之书》,西汉氾胜之所著，是中国最早的农书之一，总结了北方农业技术。,西汉,不详
《齐民要术》,北魏贾思勰所著，是中国现存最早、最完整的农学著作，总结了北方农业生产经验。,北魏,不详
《农书》,元代王祯所著，重点介绍了农业生产工具的改革和创新。,元代,不详
《农政全书》,明代徐光启所著，系统总结了农业技术，并引入了西方农业知识。,明代,上海松江
都江堰,战国时期李冰主持修建的水利工程，至今仍在发挥作用，灌溉成都平原。,战国,四川成都
郑国渠,战国时期修建的水利工程，灌溉关中平原，促进了农业发展。,战国,陕西关中
龙骨水车,汉代发明的灌溉工具，利用人力或畜力提水，广泛应用于农田灌溉。,汉代,中原地区
梯田,古代农民在山地开垦梯田，有效利用山地资源，防止水土流失。,唐代,江南地区
占城稻,宋代从越南引进的早熟稻种，适应性强，提高了水稻产量。,宋代,江南地区
玉米,明代从美洲引进的作物，适应性强，成为重要的粮食作物。,明代,不详
番薯,明代从美洲引进的作物，耐旱耐瘠，缓解了粮食危机。,明代,不详
花生,明代从美洲引进的作物，丰富了食物种类，提供了油脂来源。,明代,不详
烟草,明代从美洲引进的作物，逐渐成为重要的经济作物。,明代,不详
甜菜,明代从欧洲引进的作物，用于制糖，丰富了食物种类。,明代,不详
辣椒,明代从美洲引进的作物，逐渐成为中国饮食中的重要调味品。,明代,不详
番茄,明代从美洲引进的作物，逐渐成为重要的蔬菜作物。,明代,不详
马铃薯,明代从美洲引进的作物，耐寒耐瘠，成为重要的粮食作物。,明代,不详
《农桑辑要》,元代官修农书，总结了当时的农业技术，推广了棉花种植。,元代,不详
《王祯农书》,元代王祯所著，详细介绍了农业生产工具和技术，配有大量插图。,元代,不详
《陈旉农书》,宋代陈旉所著，总结了南方农业生产经验，特别是水稻种植技术。,宋代,江南地区
《天工开物》,明代宋应星所著，记载了农业、手工业等技术，被誉为“中国17世纪的工艺百科全书”。,明代,江西奉新
《授时通考》,清代官修农书，总结了历代农业技术，推广了农业科学知识。,清代,北京
《农桑衣食撮要》,元代鲁明善所著，总结了农业生产经验，特别是农事安排。,元代,不详
《农桑通诀》,元代王祯所著，系统总结了农业生产技术，特别是农具的使用。,元代,不详
《百谷谱》,元代王祯所著，详细介绍了各种作物的种植技术。,元代,不详
《农器图谱》,元代王祯所著，配有大量插图，详细介绍了农业生产工具。,元代,不详
《经史典故》,明代徐光启所著，引经据典阐明农业立国之本。,明代,上海松江
《诸家杂论》,明代徐光启所著，引诸子百家言证明古来以农为重。,明代,上海松江
《国朝重农考》,明代冯应京所著，强调了农业在国家经济中的重要性。,明代,不详
《农事》,明代徐光启所著，系统总结了农业生产技术，特别是农事安排。,明代,上海松江
《农桑辑要》,元代官修农书，总结了当时的农业技术，推广了棉花种植。,元代,不详
《王祯农书》,元代王祯所著，详细介绍了农业生产工具和技术，配有大量插图。,元代,不详
《陈旉农书》,宋代陈旉所著，总结了南方农业生产经验，特别是水稻种植技术。,宋代,江南地区
《天工开物》,明代宋应星所著，记载了农业、手工业等技术，被誉为“中国17世纪的工艺百科全书”。,明代,江西奉新
《授时通考》,清代官修农书，总结了历代农业技术，推广了农业科学知识。,清代,北京
《农桑衣食撮要》,元代鲁明善所著，总结了农业生产经验，特别是农事安排。,元代,不详
《农桑通诀》,元代王祯所著，系统总结了农业生产技术，特别是农具的使用。,元代,不详
《百谷谱》,元代王祯所著，详细介绍了各种作物的种植技术。,元代,不详
《农器图谱》,元代王祯所著，配有大量插图，详细介绍了农业生产工具。,元代,不详
《经史典故》,明代徐光启所著，引经据典阐明农业立国之本。,明代,上海松江
《诸家杂论》,明代徐光启所著，引诸子百家言证明古来以农为重。,明代,上海松江
《国朝重农考》,明代冯应京所著，强调了农业在国家经济中的重要性。,明代,不详
《农事》,明代徐光启所著，系统总结了农业生产技术，特别是农事安排。,明代,上海松江
《农桑辑要》,元代官修农书，总结了当时的农业技术，推广了棉花种植。,元代,不详
《王祯农书》,元代王祯所著，详细介绍了农业生产工具和技术，配有大量插图。,元代,不详
《陈旉农书》,宋代陈旉所著，总结了南方农业生产经验，特别是水稻种植技术。,宋代,江南地区
《天工开物》,明代宋应星所著，记载了农业、手工业等技术，被誉为“中国17世纪的工艺百科全书”。,明代,江西奉新
《授时通考》,清代官修农书，总结了历代农业技术，推广了农业科学知识。,清代,北京
《农桑衣食撮要》,元代鲁明善所著，总结了农业生产经验，特别是农事安排。,元代,不详
《农桑通诀》,元代王祯所著，系统总结了农业生产技术，特别是农具的使用。,元代,不详
《百谷谱》,元代王祯所著，详细介绍了各种作物的种植技术。,元代,不详
《农器图谱》,元代王祯所著，配有大量插图，详细介绍了农业生产工具。,元代,不详
《经史典故》,明代徐光启所著，引经据典阐明农业立国之本。,明代,上海松江
《诸家杂论》,明代徐光启所著，引诸子百家言证明古来以农为重。,明代,上海松江
《国朝重农考》,明代冯应京所著，强调了农业在国家经济中的重要性。,明代,不详
《农事》,明代徐光启所著，系统总结了农业生产技术，特别是农事安排。,明代,上海松江
《农桑辑要》,元代官修农书，总结了当时的农业技术，推广了棉花种植。,元代
