名称,描述,时间,地点
刘徽,魏晋时期数学家，为《九章算术》作注，创立割圆术计算圆周率，提出牟合方盖等几何概念,魏晋时期,不详
赵爽,三国时期数学家，为《周髀算经》作注，著有《勾股圆方图注》，用数形结合方法证明勾股定理,三国时期,不详
祖冲之,南北朝时期数学家、天文学家，精确计算圆周率到小数点后第七位，领先世界近千年，著有《缀术》,南北朝时期,江苏南京
祖暅,祖冲之之子，数学家，在立体几何方面有重要成就，提出祖暅原理,南北朝时期,不详
张衡,东汉时期科学家、数学家、天文学家，发明地动仪、浑天仪等，在数学方面有重要贡献，著有《算罔论》,东汉时期,河南南阳
商鞅,战国时期政治家、改革家，制定商鞅方升，统一秦国度量衡标准,战国时期,陕西西安
刘徽注《九章算术》,魏晋数学家刘徽对《九章算术》进行详细注释，完善其算法理论,魏晋时期,不详
祖冲之《缀术》,南北朝祖冲之所著数学著作，包含圆周率计算等重要成果,南北朝时期,江苏南京
秦九韶,南宋数学家，著有《数书九章》，提出大衍求一术等先进算法,南宋时期,浙江绍兴
李冶,金代数学家，著有《测圆海镜》，在勾股定理和球面几何方面有深入研究,金代,河北保定
朱世杰,元代数学家，著有《四元玉鉴》，创立四元高次方程组解法,元代,浙江温州
郭守敬,元代天文学家、数学家、水利工程专家，编制《授时历》，发明简仪等天文仪器,元代,北京
王祯,元代农学家、机械学家，在《王祯农书》中记载多种农业机械和数学应用,元代,山东东平
沈括,北宋科学家、政治家，在数学方面有诸多成就，如隙积术等，著有《梦溪笔谈》,北宋时期,江苏镇江
杨辉,南宋数学家，著有《详解九章算法》《日用算法》等，在垛积术等方面有贡献,南宋时期,不详
贾宪,北宋数学家，创造了贾宪三角（帕斯卡三角），在数学教育方面有重要影响,北宋时期,不详
李冶注《测圆海镜》,金代数学家李冶对《测圆海镜》进行注释讲解,金代,河北保定
朱世杰注《四元玉鉴》,元代数学家朱世杰对《四元玉鉴》进行注释讲解,元代,浙江温州
秦九韶注《数书九章》,南宋数学家秦九韶对自己著作《数书九章》进行注释讲解,南宋时期,浙江绍兴
祖冲之注《缀术》,南北朝数学家祖冲之对自己著作《缀术》进行注释讲解,南北朝时期,江苏南京
张丘建,北魏时期数学家，著有《张丘建算经》，提出百鸡问题等著名数学问题,北魏时期,不详
甄鸾,北周时期数学家，为多种数学著作作注，在数学教育方面有贡献,北周时期,不详
刘徽注《海岛算经》,魏晋数学家刘徽对《海岛算经》进行注释讲解,魏晋时期,不详
祖冲之注《九章算术》,南北朝数学家祖冲之对《九章算术》进行注释讲解,南北朝时期,江苏南京
赵爽注《周髀算经》,三国数学家赵爽对《周髀算经》进行注释讲解,三国时期,不详
商鞅方升的创制者,战国时期人物，创制商鞅方升作为标准量器,战国时期,陕西西安
刘徽的数学成就总结者,不详人物，对刘徽的数学成就进行总结整理,不详时期,不详
祖冲之圆周率计算传承者,不详人物，传承祖冲之圆周率计算方法,不详时期,不详
