名称,描述,时间,地点
神农氏,传说中尝百草辨识药性的医药之祖,上古时期,不详
伏羲氏,创八卦理论奠定中医阴阳五行基础,上古时期,不详
黄帝,与岐伯论医创《黄帝内经》体系,上古时期,不详
扁鹊,"战国时期""脉学之宗""，确立四诊法",春秋战国,齐国
华佗,东汉末年外科鼻祖，发明麻沸散、五禽戏,东汉末年,沛国谯县
张仲景,东汉医圣，《伤寒杂病论》作者,东汉末年,南阳
孙思邈,唐代药王，著《千金方》集临床医学大成,唐朝,陕西华原
李时珍,明代医药学家，《本草纲目》作者,明朝,湖北蕲春
皇甫谧,西晋针灸学家，《针灸甲乙经》编纂者,西晋,不详
张骞,西汉通西域引进葡萄、苜蓿等药用植物,西汉,长安
葛洪,东晋道教理论家，《肘后备急方》作者,东晋,建康
宋慈,南宋法医学家，《洗冤集录》开创法医学,南宋,临安
钱乙,北宋儿科专家，《小儿药证直诀》奠基人,北宋,钱塘
许叔微,南宋医学家，《普济本事方》收录实用验方,南宋,扬州
朱丹溪,元代滋阴学派代表，《丹溪心法》作者,元朝,浙江义乌
叶天士,清代温病学奠基人，《温热论》创立卫气营血辨证,清朝,江苏吴县
王孟英,清代温病学家，《温热经纬》整合温病学理论,清朝,浙江海宁
吴鞠通,清代温病学派代表，《温病条辨》作者,清朝,浙江杭州
王清任,清代医学家，《医林改错》批判传统解剖学谬误,清朝,直隶玉田
张仲景,东汉医圣，《金匮要略》杂病治疗专著,东汉末年,南阳
扁鹊,"春秋战国时期""神医""，创望闻问切四诊法",春秋战国,齐国
孙思邈,唐代药王，完成《千金翼方》补充《千金方》,唐朝,陕西华原
李时珍,明代医药学家，历时27年编纂《本草纲目》,明朝,湖北蕲春
皇甫谧,西晋针灸学家，首次系统整理腧穴理论,西晋,不详
张骞,西汉外交使节，引进西域药用植物如胡桃、石榴,西汉,长安
葛洪,东晋炼丹家，《抱朴子》记载早期化学制药,东晋,建康
宋慈,南宋法医学家，世界最早的法医学专著《洗冤集录》,南宋,临安
钱乙,北宋儿科专家，首创小儿五脏辨证体系,北宋,钱塘
许叔微,南宋医学家，收录300余首效验方《普济本事方》,南宋,扬州
李东垣,"明代医学家，提出""脾胃为后天之本""理论",明朝,浙江绍兴
朱丹溪,"元代医学家，创立""阳常有余，阴常不足""理论",元朝,浙江义乌
叶天士,清代温病学家，首创温病卫气营血辨证体系,清朝,江苏吴县
王孟英,清代医学家，整理《温热经纬》确立温病学框架,清朝,浙江海宁
王清任,清代解剖学家，绘制《医林改错》人体解剖图谱,清朝,直隶玉田
扁鹊,"春秋战国时期名医，""望闻问切""四诊法创始人",春秋战国,齐国
