人物名称,描述,时间,地点
张衡,东汉天文学家，发明浑天仪和地动仪。,东汉,河南南阳
郭守敬,元代天文学家，编制《授时历》。,元代,河北邢台
徐霞客,明代地理学家，著有《徐霞客游记》。,明代,江苏江阴
祖冲之,南北朝数学家、天文学家，精确计算圆周率。,南北朝,江苏南京
僧一行,唐代天文学家，编制《大衍历》。,唐代,长安（今西安）
郦道元,北魏地理学家，著有《水经注》。,北魏,不详
沈括,宋代科学家，著有《梦溪笔谈》。,宋代,浙江杭州
李淳风,唐代天文学家，著有《乙巳占》。,唐代,长安（今西安）
刘焯,隋代天文学家，提出“定朔法”。,隋代,不详
落下闳,汉代天文学家，参与编制《太初历》。,汉代,四川阆中
甘德,战国时期天文学家，著有《天文星占》。,战国,不详
石申,战国时期天文学家，著有《天文》。,战国,不详
李冰,战国时期水利专家，主持修建都江堰。,战国,四川成都
贾耽,唐代地理学家，绘制《海内华夷图》。,唐代,不详
裴秀,西晋地理学家，提出“制图六体”。,西晋,不详
徐光启,明代科学家，参与编制《崇祯历书》。,明代,上海松江
宋应星,明代科学家，著有《天工开物》。,明代,江西奉新
王祯,元代农学家，著有《农书》。,元代,不详
李诫,宋代建筑学家，著有《营造法式》。,宋代,河南开封
梅文鼎,清代天文学家，研究西方天文学。,清代,安徽宣城
王锡阐,清代天文学家，研究中西天文学。,清代,江苏苏州
李之藻,明代科学家，参与翻译西方科学著作。,明代,浙江杭州
杨忠辅,宋代天文学家，编制《统天历》。,宋代,不详
苏颂,宋代天文学家，发明水运仪象台。,宋代,福建泉州
秦九韶,宋代数学家，著有《数书九章》。,宋代,四川安岳
刘徽,三国时期数学家，注释《九章算术》。,三国,山东淄博
赵友钦,元代天文学家，研究光学和天文。,元代,不详
朱载堉,明代科学家，研究音律和历法。,明代,河南沁阳
何承天,南北朝天文学家，编制《元嘉历》。,南北朝,不详
虞喜,东晋天文学家，发现岁差现象。,东晋,不详
张遂（僧一行）,唐代天文学家，编制《大衍历》。,唐代,长安（今西安）
李冶,元代数学家，研究天元术。,元代,河北栾城
