名称,描述,时间,地点
《墨经》,中国古代第一部自然科学著作，包含声学、光学等方面的知识，如对小孔成像、平面镜成像等光学现象的描述,战国时期,不详
编钟,中国古代的一种打击乐器，通过敲击不同大小的钟体发出不同音高的声音，体现了古代对声学振动规律的认识,春秋战国时期,不详
司南,中国古代辨别方向用的一种仪器，利用磁石的指极性指示南北，是最早的磁性指向器,战国时期,不详
铜镜,中国古代的日常用品，其制作工艺涉及到光学中的反射原理，能清晰成像,商周时期 - 明清时期,不详
冰透镜取火,古人利用冰块磨成中间厚边缘薄的凸透镜形状，聚焦太阳光来取火，体现了对光的折射和聚焦原理的应用,不详,不详
桔槔,一种简单的杠杆汲水工具，利用杠杆原理实现省力提水,春秋战国时期,不详
辘轳,一种利用轮轴原理的起重工具，通过转动轮轴来提升重物,春秋战国时期,不详
滑轮组,中国古代建筑等领域使用的提升工具，利用滑轮的组合来改变力的方向和大小，省力省功,春秋战国时期 - 明清时期,不详
弩机,古代的一种远射兵器，其设计涉及到力学中的力臂、杠杆原理等，能提高射击的威力和准确性,战国时期 - 明清时期,不详
地动仪,东汉张衡发明的一种监测地震方位的仪器，利用惯性原理感知地震波并触发相应机关,东汉时期,河南南阳
候风地动仪,张衡发明的另一种仪器，能观测风向，体现了古代对空气流动等气象现象的认识,东汉时期,河南南阳
水排,东汉时期发明的水力鼓风冶铁工具，利用水力驱动风箱鼓风，提高了冶铁效率,东汉时期,河南南阳
翻车,一种古老的灌溉工具，利用链传动原理将低处的水提升到高处,东汉时期 - 明清时期,不详
筒车,一种利用水流冲击力自动提水的灌溉工具，体现了古代对水流动能的利用,唐朝时期,不详
指南针,中国古代四大发明之一，利用磁石的指极性指示方向，在航海等领域有重要应用,战国时期 - 明清时期,不详
走马灯,一种传统的民间工艺品，利用热空气上升产生的气流推动纸轮旋转，体现了热学原理,宋朝时期,不详
孔明灯,利用热空气密度小于冷空气密度的原理升空，是中国古代的一种照明和信号工具,三国时期,不详
风箱,一种鼓风的工具，通过拉动活塞改变箱内空气体积，利用空气的压力差来鼓风,古代不详,不详
水碓,利用水力驱动的舂米工具，体现了古代对水流动能的利用和机械传动原理,东汉时期 - 明清时期,不详
连机碓,一种多臼水碓，通过一套传动装置同时带动多个碓头工作，提高了舂米效率,不详,不详
水转大纺车,一种利用水力驱动的纺织机械，能实现连续纺纱，体现了古代对水力利用和机械传动的技术水平,宋朝时期,不详
水转筒车,与普通筒车不同的是利用水力驱动，将水从低处提升到高处用于灌溉等,唐朝时期,不详
太平车,一种大型运输车辆，利用木轮滚动和杠杆原理来省力，便于运输重物,宋朝时期,不详
独轮车,一种只有一个车轮的小型运输工具，利用杠杆原理和重心平衡原理，方便在狭窄道路上行驶,三国时期 - 明清时期,不详
木牛流马,一种适合山地运输的机械装置，利用巧妙的机械结构和力学原理实现货物的运输,三国时期,不详
投石车,古代的一种攻城武器，利用杠杆原理和弹性势能转化为动能的原理投掷石块,战国时期 - 明清时期,不详
弩炮,一种利用杠杆原理和绳索绞盘的大型攻城器械，能发射重型箭矢或石块,古代不详,不详
抛石机,利用杠杆原理将石块抛射出去的攻城武器，对城墙等防御工事有较大破坏力,古代不详,不详
火药箭,将火药绑在箭矢上，利用火药的燃烧和爆炸产生杀伤力，是中国古代的一种火器,唐朝时期,不详
火箭,利用火药燃烧产生的反作用力推动箭矢飞行，是中国古代的一种火器,宋朝时期,不详
突火枪,一种利用火药燃烧产生的高压气体发射弹丸的管形火器，是中国古代的一种火器,宋朝时期,不详
震天雷,一种利用火药爆炸产生巨大威力的爆炸性火器，是中国古代的一种火器,宋朝时期,不详
霹雳炮,一种利用火药爆炸产生巨大威力的爆炸性火器，是中国古代的一种火器,宋朝时期,不详
铜火铳,一种利用火药燃烧产生的高压气体发射弹丸的管形火器，是中国古代的一种火器,元朝时期,不详
喷水鱼洗,一种利用共振原理制成的器物，当摩擦其双耳时会产生嗡嗡的响声，同时有水柱从水面升起,五代时期,不详
《考工记》,记录我国古代农具、兵器、炊具、酒具、水利、建筑等古代手工艺规范的专著，反映了古代力学知识的应用,春秋战国时期,不详
《墨经》中的杠杆原理,最早阐述了杠杆原理，给力下了比较科学的定义：“力，刑（形）之所以奋也”,战国时期,不详
《墨经》中的浮木平衡原理,最早阐述了浮木平衡原理，对浮力的应用有重要贡献,战国时期,不详
张衡的水运浑天仪,利用水力驱动的天文仪器，用于演示天体运行,东汉时期,河南南阳
候风地动仪,张衡发明的另一种仪器，能观测风向，体现了古代对空气流动等气象现象的认识,东汉时期,河南南阳
被中香炉,世界上已知最早的常平支架，利用重力平衡原理保持香炉的稳定,西汉时期,不详
祖冲之的水磨,利用水力驱动的磨粉工具，体现了古代对水力利用和机械传动的技术水平,南北朝时期,不详
赵州桥,李春主持建设的赵州桥，跨度最大、弧度最浅，体现了古代结构力学的发展水平,隋朝时期,河北赵县
曹冲称象,利用浮力原理称量大象的重量，体现了古代对浮力的应用,三国时期,不详
《论衡》,王充的著作中关于运动的疾缓（快慢）、力与运动、物与运动、内力与外力的关系等做了阐述,东汉时期,不详
《尚书纬考灵》,东汉时代的著作，对运动相对性进行了研究，比伽利略的《对话》早1500年,东汉时期,不详
苏颂和韩公廉的水运仪象台,宋代建成的大型天文钟楼，利用水力驱动，体现了古代机械传动的技术水平,宋朝时期,不详
郭守敬的天文仪器,元代郭守敬在天文仪器制造的种类、结构和精度方面达到很高水平,元朝时期,不详
《天工开物》,明朝农业和手工业生产技术的百科全书，在卷十五《体兵篇》中记述测试弓弦弹力大小的方法,明朝时期,不详
《墨经》中的光学原理,最早阐述了光的直进性和小孔成像、平面镜反射及成像、球面镜成像等光学原理,战国时期,不详
毕岚的翻车,利用光学知识制成的龙骨水车，体现了古代对光学的应用,东汉时期,不详
王充的《论衡》中的光学原理,阐述了光的强度、光的直线传播及球面镜聚焦成像,东汉时期,不详
《玄真子》中的人造虹实验,唐代著作中记录了“背日喷水”的人造虹实验,唐朝时期,不详
沈括的《梦溪笔谈》中的光学实验,记录了小孔成像、凹凸镜成像、凹凸镜的放大和减小作用等光学实验,宋朝时期,不详
赵书钦的《革象新书》中的光学研究,研究了光的直进、针孔成像，利用模拟实验研究月亮盈亏以及日、月蚀,元朝时期,不详
《庄子》中的共振现象,记录了调瑟时发生的共振现象，比西方早得多,战国时期,不详
《墨子·备穴篇》中的共振应用,记述了共振现象在城墙下埋置陶瓮以探测敌人挖掘地道的应用,战国时期,不详
《刘宾客嘉话录》中的消除共鸣方法,记录了用锉磨磬以消除共鸣的方法,唐朝时期,不详
喷水鱼洗,利用共振原理制成的器物，当摩擦其双耳时会产生嗡嗡的响声，同时有水柱从水面升起,五代时期,不详
《梦溪笔谈》中的共振现象,记录了声的共振现象，比英国的诺布尔所做的“纸游码”实验早500年,宋朝时期,不详
朱载堉的十二平均律,首次阐明了音乐中的十二平均律,明朝时期,不详
《管子》中的磁现象,记录了“上油慈石者，其下有铜金”的磁现象,战国时期,不详
《吕氏春秋·精通》中的磁现象,记录了“慈石召铁，或引之也”的磁现象,战国时期,不详
《淮南子》中的人造磁铁,提及人造磁铁和磁极斥力,西汉时期,不详
《论衡是应篇》中的司南,记录了“司南之构，投之于地，其抵指南”的司南,东汉时期,不详
《梦溪笔谈》中的磁偏角,记录了磁偏角，比西方发现地磁偏角早了四百多年,宋朝时期,不详
《考工记》中的温度认识,记录了熔炼金属过程中对温度的认识,春秋战国时期,不详
《墨经》中的热学原理,记录了热学原理，如“奋”、“衡”、“本”、“标”、“重”、“权”等,战国时期,不详
《论衡》中的热学原理,阐述了热学原理，如“火气上升”、“热气上升”等,东汉时期,不详
《梦溪笔谈》中的热学实验,记录了热学实验，如“火气上升”、“热气上升”等,宋朝时期,不详
《天工开物》中的热学应用,记录了热学在农业和手工业生产中的应用,明朝时期,不详
