名称,描述,时间,地点
都江堰,世界最早大型水利工程，采用鱼嘴分水、飞沙堰排沙、宝瓶控流系统,战国时期,四川成都
长城,人类史上最宏伟军事防御工程，总长超2.1万公里,春秋战国至明朝,北京/河北/山西等
故宫（紫禁城）,现存最大木质宫殿建筑群，占地72万平方米，应用榫卯结构抗震技术,明朝,北京
京杭大运河,世界上最长的古代人工运河，全长1797公里，沟通五大水系,隋朝至元朝,北京/江苏/浙江
赵州桥,现存最古老敞肩石拱桥，首创"空腹拱"设计降低桥身重量,隋朝,河北赵县
应县木塔,世界最高木塔（原高105米），采用多层斗拱抗震结构,辽代,山西应县
布达拉宫,海拔3700米的宫堡式建筑群，融合藏汉建筑艺术,唐朝至清朝,西藏拉萨
苏州园林,世界文化遗产，运用借景、叠石、理水等造园手法创造诗意空间,宋朝至清朝,江苏苏州
都江堰水利工程,战国李冰父子创建的分洪灌溉系统，至今仍灌溉成都平原,战国时期,四川成都
灵渠,秦朝修建的运河工程，连接湘江与漓江，首创"陡门"船闸技术,秦朝,广西兴安
悬空寺,建于悬崖的木构建筑，运用"插峰造基"技术平衡重力,北魏时期,山西大同
乐山大佛,世界最大石刻佛像，通高71米，耗费90年时间建造,唐朝,四川乐山
敦煌莫高窟,现存规模最大的佛教艺术宝库，735个洞窟保存千年壁画雕塑,前秦至元朝,甘肃敦煌
泉州港,宋元时期东方第一大港，设有10座宋代石桥和完善的航海设施,宋朝,福建泉州
永乐大典库房,明朝皇家藏书楼，采用楠木立柱和防火防潮设计,明朝,北京
秦始皇陵,中国最大帝王陵墓，包含兵马俑坑和地下宫殿,秦朝,陕西西安
布达拉宫白宫,五世达赖喇嘛修建的行政与宗教中心，墙面镶嵌大量矿物质颜料,清朝,西藏拉萨
故宫太和殿,现存最大木构宫殿，面积2377平方米，重檐庑殿顶象征皇权,明朝,北京
都江堰鱼嘴分水处,战国时期水利工程核心设施，实现自动分流比例4:6,战国时期,四川成都
赵州桥敞肩拱,世界上最早的敞肩石拱桥设计，增加泄洪能力同时减轻桥身重量,隋朝,河北赵县
应县木塔斗拱层,共54种不同形式的斗拱构件，抗震性能卓越,辽代,山西应县
苏州拙政园,明朝园林代表作，运用"借景"手法将园外山水纳入景观,明朝,江苏苏州
北京城垣,明清两代都城，周长34公里，护城河宽52米,明朝至清朝,北京
南京明孝陵,明朝开国皇帝朱元璋陵墓，神道石像生规模宏大,明朝,江苏南京
福建土楼,夯土建筑群，圆形或方形结构，抗震防火性能卓越,宋元至清朝,福建永定
曲阜孔庙,世界文化遗产，历代帝王祭祀孔子的庙宇群，现存建筑多为明清时期重建,唐朝至清朝,山东曲阜
承德避暑山庄,清代皇家园林，占地2.9平方公里，融合汉满蒙藏建筑风格,清朝,河北承德
杭州西湖十景,南宋时期形成的园林景观，包含苏堤春晓、断桥残雪等著名景点,南宋,浙江杭州
大运河邗沟段,春秋时期开凿的运河，连接淮河与长江，全长150公里,春秋时期,江苏扬州
故宫中和殿,皇帝举行大典前休息之所，采用金砖墁地特殊工艺,明朝,北京
都江堰飞沙堰,水利工程关键设施，利用离心力排沙，确保成都平原免受水患,战国时期,四川成都
赵州桥基础处理,古人采用"插木桩"加固地基，解决软土地基沉降问题,隋朝,河北赵县
