名称,描述,时间,地点
《墨经》,中国古代第一部自然科学著作，包含声学、光学等方面的知识，如对小孔成像、平面镜成像等光学现象的描述,战国时期,不详
《考工记》,春秋战国时期齐国人的一部科技著作，记录了手工技术规范，包含力学和热学方面的知识,春秋战国时期,不详
《论衡》,东汉王充所著，内容涉及力学、声学、热学、电磁学等方面的知识,东汉时期,不详
《梦溪笔谈》,北宋沈括所著，记录了磁学、光学和声学知识，是中国科学史上的重要著作,宋朝时期,不详
《草象新书》,元代赵友钦所著，对光学现象进行了深入研究和详细描述,元朝时期,不详
《正蒙》,宋代张载所著，提出了“元气本体论”，探讨了物质的本源和运动变化,宋朝时期,不详
《正蒙注》,对《正蒙》的注释和解读，进一步阐释了元气本体论,宋朝时期,不详
《周髀算经》,记录勾股定理、盖天说天文模型及分数运算，现存最早数学天文学著作,汉朝,不详
《四元玉鉴》,元代朱世杰所著，研究高次方程及多元方程组，代表宋元数学最高成就,元朝时期,不详
《甘石星经》,战国时期甘德、石申所著，记录数百颗恒星位置，世界最早星表之一,战国时期,不详
《水经注》,北魏郦道元所著，以水道为纲，详细记载地理、历史、民俗,北魏时期,不详
《徐霞客游记》,明代徐霞客所著，实地考察喀斯特地貌、江河源流，开创地理学实地考察先河,明朝时期,不详
《营造法式》,宋代李诫所著，详述木构建筑设计与施工，反映古代工程标准化成就,宋朝时期,不详
《武经总要》,宋代曾公亮、丁度所著，记载火药配方、军事器械，反映宋代军事科技水平,宋朝时期,不详
《齐民要术》,北魏贾思勰所著，总结黄河流域农业生产经验，被誉为“中国古代农业百科全书”,北魏时期,不详
《农政全书》,明代徐光启所著，集传统农学大成，引入西方科学思想,明朝时期,不详
《天工开物》,明代宋应星所著，详细记录纺织、制盐、冶炼、陶瓷等18个行业的技术,明朝时期,不详
《黄帝内经》,中医理论奠基之作，阐述生理、病理及治疗原则,战国至汉朝,不详
《伤寒杂病论》,东汉张仲景所著，创立“辨证论治”体系，奠定临床医学基础,东汉时期,不详
《本草纲目》,明代李时珍所著，收录药物1892种，附药方万余条,明朝时期,不详
《千金方》,唐代孙思邈所著，强调医德与养生，收录大量民间验方,唐朝时期,不详
《洗冤集录》,宋代宋慈所著，世界首部法医学专著，详述验尸、鉴别死伤原因等技术,宋朝时期,不详
《九章算术》,中国古代数学体系形成标志，涵盖分数运算、方程解法、勾股定理等,汉朝,不详
《浑仪议》,古代天文学著作，讨论浑天仪的设计和使用,不详,不详
《浮漏议》,古代天文学著作，讨论浮漏仪的设计和使用,不详,不详
《景表议》,古代天文学著作，讨论景表仪的设计和使用,不详,不详
《墨子》,战国时期墨家学派著作，包含杠杆原理等力学知识,战国时期,不详
《九章算术》,讨论平衡杆问题，为力学研究提供基础,汉朝,不详
《天平》,张衡发明的力学测量工具，可精确测量物体重量,东汉时期,河南南阳
《几何学》,唐代顾炎武所著，解决光线的反射和折射问题,唐朝时期,不详
《曾侯乙编钟》,战国时期制造的编钟，体现古代对音节音律的极高造诣,战国时期,不详
《回音壁》,北京天坛建筑，巧妙应用声学原理,明朝时期,北京
《五行说》,古代关于物质构成的学说，探讨物质世界的本质,不详,不详
《元气说》,古代关于物质构成的学说，探讨物质世界的本质,不详,不详
《原子论》,墨家提出的物质构成学说，探讨物质世界的本质,战国时期,不详
