名称,描述,时间,地点
火药,由硝酸钾、木炭和硫磺混合而成的爆炸性药剂,唐代,中国
造纸术,利用植物纤维制成纸张,东汉,中国
青铜器,红铜与锡的合金制成的器具,商周时期,中国
炼丹术,通过炼制矿物追求长生不老的方术,秦汉时期,中国
湿法炼铜,利用铁置换铜盐中的铜,西汉,中国
冶铁技术,使用煤炭和焦炭炼铁,汉代,中国
瓷器,高温烧制的陶器,表面施釉,唐代,中国
胆铜法,利用胆矾溶液炼铜,宋代,中国
煤炭利用,最早发现并使用煤炭作为燃料,汉代,河南巩县
焦炭炼铁,使用焦炭炼铁,南宋,广东新会
炼丹炉,用于炼制丹药的专用炉具,汉代,中国
五毒方,医药化学的开端,汉代,中国
三十六水法,世界上最早的炼丹术著作,汉代,中国
铅汞还丹,炼制氧化汞的炼丹方法,汉代,中国
硫酸制备,干馏石胆制取硫酸,汉代,中国
黄芽,铅丹用于炼丹,汉代,中国
铜盐置换,铁置换铜盐中的铜,汉代,中国
炼丹理论,以阴阳五行学说为基础的炼丹理论,汉代,中国
九转铅丹法,反复炼制铅丹的方法,汉代,中国
硫黄化汞,硫与汞化合生成硫化汞,汉代,中国
炼丹术与道教,炼丹术与道教结合,东汉,中国
陶瓷釉料,釉料的配方与烧制技术,唐代,中国
青瓷,高温烧制的青绿色瓷器,唐代,中国
白瓷,高温烧制的白色瓷器,唐代,中国
景德镇瓷器,御用瓷器的生产中心,宋代,江西景德镇
磁州窑,以剔填工艺著称的陶瓷,宋代,河北磁州
青铜冶炼,青铜器的铸造技术,商周时期,中国
铁器冶炼,铁器的铸造与锻造技术,汉代,中国
铜器冶炼,铜器的铸造技术,商周时期,中国
炼丹术文献,《周易参同契》等炼丹著作,汉代,中国
炼丹术实践,狐刚子等炼丹家的实践,汉代,中国
炼丹术仪器,炼丹炉、坩埚等工具,汉代,中国
炼丹术药物,丹砂、铅丹等炼丹原料,汉代,中国
