名称,描述,时间,地点
《水经注》,郦道元系统注释水文地理与建筑遗迹，记载300余处水利工程与城防设施,北魏,河南洛阳
《营造法式》,李诫编纂的古代建筑标准化典籍，规定建筑等级、材料规格与施工流程,北宋,东京汴梁
《天工开物》,宋应星记录农业、手工业技术，包含木构建筑、水利工程与砖石工艺,明朝,江西奉新
《梦溪笔谈》,沈括记载建筑力学原理、活字印刷术与城市规划案例,北宋,江苏镇江
《园冶》,计成系统论述园林设计与营造法则，提出"借景""障景"等造园手法,明朝,江苏吴门
《工程营造录》,蒯祥家族编纂的皇家工程手册，涵盖宫殿、园林、桥梁的施工规范,明朝至清朝,北京
《新安江水力发电规划》,汪应辰提出梯级开发水利资源的系统性方案,南宋,浙江建德
《河防一览图》,潘季驯总结黄河治理经验，创新"束水攻沙"治河理论,明朝,江苏扬州
《鲁班经》,民间工匠手册，收录木工、泥瓦工、石匠技术诀窍与建筑禁忌,明代,不详
《营造法原》,姚承祖整理苏州园林营造技艺，详解叠石、理水与建筑布局,清末,江苏苏州
《水陆攻守图鉴》,戚继光编撰军事防御工事设计，包含城墙、烽火台与水利屏障,明朝,浙江台州
《农政全书·荒政》,徐光启论述灾后水利工程恢复与农田水利建设,明朝,上海松江
《山居笔记·营缮篇》,张岱记录江南私家园林建造技艺与古建筑修复案例,明朝,浙江绍兴
《营造法式图解》,李诫之子李仲明绘制建筑构件详图，附施工工艺说明,北宋,东京汴梁
《水经注疏》,郦道元注疏补遗，完善水利工程与地质灾害防治内容,清代,不详
《工程汇要》,清代官修工程手册，收录桥梁、堤坝、宫殿的典型设计方案,清朝,北京
《园庭草木疏》,文震亨论述园林植物配置与景观营造,明朝,江苏苏州
《天工开物·丹青》,宋应星记载传统建筑颜料提取工艺与彩绘技法,明朝,江西奉新
《营造法式续编》,清代学者增补《营造法式》未收录的官式建筑案例,清朝,北京
《水利金鉴》,张謇系统整理历代水利工程文献，提出现代化治水理念,清末,江苏南通
《古建寻踪》,梁思成实地测绘记录，收录15省200余县古建筑构造详析,民国时期,广东新会
《中国建筑史》,刘敦桢编纂的系统性建筑史著作，涵盖建筑理论与历史演变,民国时期,江苏南京
《营造学社汇刊》,中国营造学社编辑的学术期刊，发表古建筑测绘、文献考证等研究成果,民国时期,北京
《建筑考古学》,谢元庆提出通过考古发掘研究建筑起源与技术发展,民国时期,河南安阳
《古建保护刍议》,单士元探讨古建筑维修原则与保护技术,民国时期,北京
《营造法式注释》,董作宾对《营造法式》的条文解读与术语考证,民国时期,浙江杭州
《中国营造学史》,梁思成总结中国古代建筑体系与营造技艺发展脉络,民国时期,广东新会
《建筑丛谈》,杨廷宝分析传统建筑结构与现代工程技术的结合点,民国时期,江苏徐州
《古建实测图录》,刘敦桢团队实地测绘的100余栋古建筑精确图纸,民国时期,北京
《营造法式补遗》,罗哲文整理敦煌壁画中的建筑图像与营造技法,民国时期,甘肃敦煌
《中国古建筑保护技术》,李兰英系统阐述古建筑木构、砖石的修复工艺,民国时期,北京
《营造学社年报》,中国营造学社发布的年度研究报告，包含论文、测绘图与文献整理,民国时期,北京
《古建材料学》,陈明达研究传统建材的物理化学性质与耐久性,民国时期,上海
《营造法式译解》,美国人宾夕法尼亚大学东方艺术研究中心编译的英文版,民国时期,美国费城
《中国建筑史图说》,梁思成、林徽因编著的图文并茂建筑史教材,民国时期,广东新会
《古建工程学》,马衡提出古建筑结构力学分析与保护工程实施框架,民国时期,北京大学
《营造法式考工记》,王子野考证《营造法式》中的工艺标准与工具使用,民国时期,天津
《中国古建筑保护法规》,政府颁布的系统性古建筑保护条例与实施细则,民国时期,南京
《营造学社丛刊》,中国营造学社出版的专题研究集，涉及建筑史、考古与保护,民国时期,北京
《古建修复技术》,朱启钤总结传统建筑修缮经验，提出"最小干预"保护原则,民国时期,北京
《营造法式研究》,日本学者关野贞、常盘大定等人的汉唐建筑研究译介,民国时期,东京
《中国古建筑图集》,梁思成、林徽因等编纂的古代建筑图谱，含平面、立面与透视图,民国时期,广东新会
《营造法式新诠》,现代学者对《营造法式》的现代化解读与术语重构,现代,北京
《古建保护与利用》,住建部发布的古建筑保护技术规范与活化利用指南,现代,北京
