名称,描述,时间,地点
神农尝百草,传说中辨识百草药性的起源事件,上古时期,不详
黄帝内经,现存最早中医理论体系典籍,战国至西汉,不详
扁鹊四诊法,望闻问切诊断方法确立,春秋战国,齐国
麻沸散,华佗发明的世界上最早的麻醉剂,东汉末年,沛国谯县
伤寒杂病论,张仲景创立辨证论治体系,东汉末年,南阳
本草纲目,李时珍系统整理药物学巨著,明朝,湖北蕲春
金匮要略,张仲景论述杂病治疗的专著,东汉末年,不详
温病条辨,吴鞠通创立温病学派经典,清朝,浙江杭州
肘后备急方,葛洪编撰急救手册,东晋,建康
洗冤集录,宋慈开创法医学专著,南宋,临安
太医署,隋唐设立官方医疗机构,隋朝,长安
针灸甲乙经,皇甫谧系统整理针灸理论,西晋,不详
新修本草,世界上第一部官修药典,唐朝,长安
圣济总录,宋徽宗颁布大型医书,北宋,东京汴梁
本草拾遗,陈藏器补充药物记载,唐朝,浙江
温热论,叶天士奠定量温病学基础,清朝,江苏吴县
医林改错,王清任批判传统解剖学谬误,清朝,直隶玉田
红夷大炮,明代火器改进推动军事医学,明朝,南京
种痘术,中国最早免疫疗法记载,宋元时期,不详
四声猿,李贽批判传统医学的哲学著作,明朝,福建泉州
钦定医宗金鉴,清代官方修订医书,清朝,北京
白虎汤,张仲景创制经典清热方剂,东汉末年,不详
导引术,古代养生健身体系形成,战国时期,不详
五禽戏,华佗创编仿生健身操,东汉末年,沛国谯县
石室秘宝,宋代官藏医书集成,北宋,开封
痰火致病论,朱丹溪创立滋阴学派理论,元朝,浙江义乌
女科百病良方,昝殷系统论述妇科疾病,唐朝,成都
小儿药证直诀,钱乙开创儿科专科体系,北宋,钱塘
普济本事方,许叔微收录实用验方,南宋,扬州
针灸聚英,高武完善针灸铜人模型,明朝,浙江嘉兴
医宗金鉴·外科心法,清代外科治疗标准教材,清朝,北京
正骨心法要旨,清宫秘传正骨技艺,清朝,北京
滇南本草,兰茂编撰云南地方药物志,明朝,云南嵩明
本草蒙筌,陈嘉谟普及性药学启蒙书,明朝,福建长乐
医贯,赵献可阐述命门学说,明朝,江苏虞山
丹溪心法,朱丹溪滋阴学派代表作,元朝,浙江义乌
温热经纬,王孟英整合温病学理论,清朝,浙江海宁
血证论,唐容川创立血证治疗体系,清朝,四川成都
兰亭集序,王羲之书法体现中医养生观,东晋,会稽山阴
清明上河图,宋代风俗画反映市井医药场景,北宋,东京汴梁
永乐大典·医药篇,明朝最大百科全书收录医药内容,明朝,南京
天工开物·丹青,宋应星记载传统颜料制作工艺,明朝,奉新
农政全书·荒政,徐光启论述灾后防疫措施,明朝,上海松江
山居笔记·医药,张岱记录民间偏方,明朝,浙江绍兴
徐霞客游记·草药,地理学家记录西南地区药用植物,明朝,云南
李时珍墓,明代医药学家纪念遗址,明朝,湖北蕲春
扁鹊墓,战国名医纪念遗迹,战国时期,河北内丘
华佗墓,东汉神医纪念遗址,东汉末年,安徽亳州
张仲景祠,医圣纪念建筑群,东汉末年,河南南阳
孙思邈故里,唐代药王故乡纪念馆,唐朝,陕西华原
李时珍纪念馆,明代医药学家生平展览馆,明朝,湖北蕲春
中医药文化展馆,现代系统性展示传统医药成就,现代,北京
