名称,描述,时间,地点
《水经注》,北魏郦道元所著，详细记载了全国河流的水道、历史遗迹和风土人情。,北魏,不详
《石氏星表》,战国时期石申所著，记录了恒星的位置和天文现象。,战国,不详
《徐霞客游记》,明代徐霞客所著，记录了全国各地的地理风貌和地质考察。,明代,江苏江阴
《山海经》,上古奇书，记载了山川湖海、神话传说和地理知识。,战国至汉代,不详
《梦溪笔谈》,北宋沈括所著，涉及天文、地理、物理等多学科知识。,北宋,浙江杭州
《授时历》,元代郭守敬编制，是中国古代最精确的历法之一。,元代,河北邢台
《甘石星经》,战国时期甘德和石申合著，记录了恒星位置和天文现象。,战国,不详
《史记·天官书》,西汉司马迁所著，记载了古代天文体系和星象观测。,西汉,陕西西安
《汉书·地理志》,东汉班固所著，记载了西汉时期的行政区划和地理信息。,东汉,陕西西安
《尚书·禹贡》,记载了大禹治水和古代九州的地理划分。,春秋战国,不详
《元和郡县图志》,唐代李吉甫所著，记载了唐代的行政区划和地理信息。,唐代,不详
《大唐西域记》,唐代玄奘口述，记载了西域各国的地理和风土人情。,唐代,长安（今西安）
《太平寰宇记》,北宋乐史所著，记载了宋代的地理和风土人情。,北宋,不详
《皇舆全览图》,清代康熙年间绘制，是中国古代最精确的全国地图之一。,清代,北京
《灵台秘苑》,北宋庾季才所著，记录了宋代的天文观测和星象。,北宋,不详
《淮南子·天文训》,西汉刘安所著，记载了天文、历法和气象知识。,西汉,安徽淮南
《星经》,战国时期甘德和石申所著，记录了恒星位置和天文现象。,战国,不详
《天官书》,西汉司马迁所著，记载了古代天文体系和星象观测。,西汉,陕西西安
《校正柳庄相法》,明代袁忠彻所著，涉及天文和占星知识。,明代,不详
《御纂医宗金鉴续总目》,清代吴谦所著，涉及天文和医学知识。,清代,北京
《甘氏星经》,战国时期甘德所著，记录了恒星位置和天文现象。,战国,不详
《黄帝内经》,西汉时期医学典籍，涉及天文和医学知识。,西汉,不详
《墨经》,战国时期墨家著作，涉及光学、力学和天文知识。,战国,不详
《禽经》,春秋时期师旷所著，记载了鸟类知识和生态。,春秋,不详
《天工开物》,明代宋应星所著，记载了农业和手工业技术。,明代,江西奉新
《齐民要术》,北魏贾思勰所著，记载了农业技术和地理知识。,北魏,不详
《九章算术》,汉代数学著作，涉及天文和数学知识。,汉代,不详
《农政全书》,明代徐光启所著，记载了农业技术和地理知识。,明代,上海松江
《大衍历》,唐代僧一行编制，是中国古代重要的历法之一。,唐代,长安（今西安）
《周髀算经》,汉代数学和天文学著作，记载了天文观测和计算方法。,汉代,不详
《禹贡地域图》,古代地图，记载了九州的地理格局。,唐代,不详
《汉书·艺文志》,东汉班固所著，记载了古代天文和地理著作。,东汉,陕西西安
《天文大象赋》,唐代天文学著作，记载了星象和天文现象。,唐代,不详
《开元占经》,唐代天文学著作，记载了星象和占卜方法。,唐代,不详
《仪象考成》,清代天文学著作，记载了天文仪器的制作和使用方法。,清代,北京
《天文志》,历代正史中的天文部分，记载了天文现象和历法。,历代,不详
《地理志》,历代正史中的地理部分，记载了各地的地理情况。,历代,不详
《元和郡县志》,唐代李吉甫所著，记载了唐代的行政区划和地理信息。,唐代,不详
《穆天子传》,战国时期游记体地理著作，记载了西域风光和民俗。,战国,不详
《广志绎》,明代王士性所著，记载了各地的山川名胜和物产民俗。,明代,不详
《舆地广记》,宋代地理著作，记载了各地的地理和历史。,宋代,不详
《方舆胜览》,宋代地理著作，记载了各地的名胜和地理情况。,宋代,不详
《读史方舆纪要》,清代地理著作，详细记载了各地的地理和军事形势。,清代,不详
《华夷图》,宋代地理图，记载了中国和周边国家的地理情况。,宋代,不详
《禹迹图》,宋代地理图，记载了中国的地理情况。,宋代,不详
《广舆图》,明代地理图，记载了中国和周边国家的地理情况。,明代,不详
《海国图志》,清代地理著作，记载了世界各国的地理情况。,清代,不详
《坤舆万国全图》,明代地理图，是中国最早的世界地图之一。,明代,不详
《天文图》,宋代天文图，记载了星象和天文现象。,宋代,不详
《星图》,历代天文图，记载了星象和天文现象。,历代,不详
《天文仪器图》,历代天文仪器图，记载了天文仪器的制作和使用方法。,历代,不详
《天文观测记录》,历代天文观测记录，记载了天文现象和观测结果。,历代,不详
《天文历法》,历代天文历法，记载了历法的编制和使用方法。,历代,不详
《天文占卜》,历代天文占卜，记载了星象和占卜方法。,历代,不详
《天文仪器》,历代天文仪器，记载了天文仪器的制作和使用方法。,历代,不详
《天文观测》,历代天文观测，记载了天文现象和观测结果。,历代,不详
